eval_item_id,matched_train_id,exact_matched_train_id,normalized_matched_train_id,long_substring_matched_train_id,substring_matched_train_id,source_work_identity,category,comparison_scope,train_exact_match,train_normalized_exact_match,train_long_substring_match,train_short_substring_match,train_near_match,max_similarity,method,threshold,status,work_overlap
sha256:e87bc811a18af29bbdeacfe923db52393c46cf09f3d16d7f9a99ef1381a68f1b,sha256:5e82397c809a1eae916b7c674d904f2b3d339b661b896a7dcecb14da9f8e6df3,,,,,sha256:1c5e9f0876d48afaae4e0bf4941744a2a544455e30e861942009e3ed31c26489,web_novel,lm_train_30m,False,False,False,False,False,0.14429012345679013,directional unique character 5-gram containment in one train record,0.8,no_detected_text_match_work_unknown,unknown
sha256:4857f3873397730eda41681434f5e6e9ff61811644a5864002c2c68f4e8c74b6,sha256:5e82397c809a1eae916b7c674d904f2b3d339b661b896a7dcecb14da9f8e6df3,,,,,sha256:5b7856e7aa10e7737070308027130e3aae653fa3a80aa542144fce067598187b,web_novel,lm_train_30m,False,False,False,False,False,0.1181687752706404,directional unique character 5-gram containment in one train record,0.8,no_detected_text_match_work_unknown,unknown
sha256:7745be0079f0196724083941ea0489a71952f227d0beec9b6b46b074b1dfc779,sha256:5e82397c809a1eae916b7c674d904f2b3d339b661b896a7dcecb14da9f8e6df3,,,,,sha256:2339766269d3957b99c5b37f2cc6b3365d21d15a7cf53b4a2e33e40632eb11ae,web_novel,lm_train_30m,False,False,False,False,False,0.10300429184549356,directional unique character 5-gram containment in one train record,0.8,no_detected_text_match_work_unknown,unknown
sha256:dedcd18949b3692a57554a92c127b269895b4f7fe9d9b07285b1680df59ef6c9,sha256:5e82397c809a1eae916b7c674d904f2b3d339b661b896a7dcecb14da9f8e6df3,,,,,sha256:0cd351182671b68373709edb07c0de6ad316f09252afc2692ca6938ec29bc920,web_novel,lm_train_30m,False,False,False,False,False,0.12680949623624782,directional unique character 5-gram containment in one train record,0.8,no_detected_text_match_work_unknown,unknown
sha256:d7ba6708facc41c3c49877afe36a3de5ccc1a0a68043da5793c995d79f779456,sha256:5e82397c809a1eae916b7c674d904f2b3d339b661b896a7dcecb14da9f8e6df3,,,,,sha256:29ae6052f7f20128317a8fc990598a6bf6e7e0495a4825aad70146fb4ef6e1ff,web_novel,lm_train_30m,False,False,False,False,False,0.11594492117341848,directional unique character 5-gram containment in one train record,0.8,no_detected_text_match_work_unknown,unknown
sha256:cb925d8ecd20ef00f122b6066b4927e7a6639d85d447b2b70d27d23e41164490,sha256:5e82397c809a1eae916b7c674d904f2b3d339b661b896a7dcecb14da9f8e6df3,,,,,sha256:567b164a077c5626291f25277c5e29cb99c0e08e9874d4237f04eac47068b022,web_novel,lm_train_30m,False,False,False,False,False,0.09095120444718963,directional unique character 5-gram containment in one train record,0.8,no_detected_text_match_work_unknown,unknown
sha256:13b7ce5cd60da86707486f6bd4ad8c15a2553be60edfcadc2a16f3335b476d83,sha256:5e82397c809a1eae916b7c674d904f2b3d339b661b896a7dcecb14da9f8e6df3,,,,,sha256:08a02523a51a6564d8cf532645a59fb8f3f1129308bffb59bfa3c8a1873ba94e,web_novel,lm_train_30m,False,False,False,False,False,0.12305944717909882,directional unique character 5-gram containment in one train record,0.8,no_detected_text_match_work_unknown,unknown
sha256:8cc02caa1ccf823eb8a09043d0808883288a98aaa193e03269e819d4680587bf,sha256:5e82397c809a1eae916b7c674d904f2b3d339b661b896a7dcecb14da9f8e6df3,,,,,sha256:1a5a0585bce4b6ea4e39abc6822761f96afb5664750f1f9a97756c7b1fe270f9,web_novel,lm_train_30m,False,False,False,False,False,0.12699338778685337,directional unique character 5-gram containment in one train record,0.8,no_detected_text_match_work_unknown,unknown
sha256:274e1fef3d018cf604578648d5eb2bd6db6f33fedab3bad39cf2e61643d6f411,sha256:5e82397c809a1eae916b7c674d904f2b3d339b661b896a7dcecb14da9f8e6df3,,,,,sha256:1d2d98c332372fa31928829a7946c654b3fdd415d84669eadfa7e2701fb0b5ef,web_novel,lm_train_30m,False,False,False,False,False,0.09928880211964858,directional unique character 5-gram containment in one train record,0.8,no_detected_text_match_work_unknown,unknown
sha256:9bcbf9242e90466e262d85a4933b31517562a9e7bd72ffd501f60bdcc828ecf4,sha256:5e82397c809a1eae916b7c674d904f2b3d339b661b896a7dcecb14da9f8e6df3,,,,,sha256:48324a57142c0777ee12d39407ac3ee57731a0da903b1594ae1d5f4c298a9ddd,web_novel,lm_train_30m,False,False,False,False,False,0.11215255332902392,directional unique character 5-gram containment in one train record,0.8,no_detected_text_match_work_unknown,unknown
